predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
1,Josh Allen,QB,9.7778,385.04,2
2,Christian McCaffrey,RB,9.1056,40.3,346
3,Tyreek Hill,WR,8.7435,177.7,74
4,CeeDee Lamb,WR,8.3648,212.9,43
5,Jalen Hurts,QB,6.4144,320.12,12
6,Puka Nacua,WR,6.2592,167.1,85
7,Patrick Mahomes,QB,6.1754,293.52,16
8,Amon-Ra St. Brown,WR,6.1057,258.68,25
9,Derrick Henry,RB,6.079,326.9,11
10,Davante Adams,WR,6.0251,198.8,53
11,Travis Kelce,TE,5.6487,146.9,109
12,Stefon Diggs,WR,5.59,98.42,207
13,Travis Etienne,RB,5.2072,110.7,170
14,A.J. Brown,WR,5.0443,183.4,66
15,Sam LaPorta,TE,4.9582,144.6,110
16,Joe Mixon,RB,4.842,222.5,38
17,Mike Evans,WR,4.8016,203.4,48
18,Justin Jefferson,WR,4.761,265.98,22
19,Austin Ekeler,RB,4.6945,114.8,161
20,Bijan Robinson,RB,4.4686,311.2,14
21,Jahmyr Gibbs,RB,4.3112,336.9,8
22,Ja'Marr Chase,WR,4.2595,339.5,6
23,DJ Moore,WR,3.94,189.1,58
24,Josh Jacobs,RB,3.8146,275.1,20
25,Alvin Kamara,RB,3.6292,231.3,32
26,Lamar Jackson,QB,3.5701,434.38,1
27,Najee Harris,RB,3.5009,186.6,63
28,Breece Hall,RB,3.4865,212.4,44
29,Rachaad White,RB,3.3267,174.1,79
30,Dak Prescott,QB,3.3116,124.52,143
31,Keenan Allen,WR,3.2644,150.4,105
32,Brandon Aiyuk,WR,3.2458,49.9,314
33,Deebo Samuel Sr.,WR,3.2164,128.1,137
34,DK Metcalf,WR,3.206,158.2,97
35,Saquon Barkley,RB,3.138,338.8,7
36,George Kittle,TE,3.0257,197.6,54
37,DeVonta Smith,WR,2.9509,165.4,88
38,Amari Cooper,WR,2.9438,100.7,202
39,Jayden Reed,WR,2.8472,169.5,83
40,T.J. Hockenson,TE,2.8014,66.0,277
41,Tony Pollard,RB,2.7838,180.2,69
42,David Montgomery,RB,2.7554,203.72,47
43,Jordan Addison,WR,2.7301,181.0,68
44,Jaylen Waddle,WR,2.715,120.6,148
45,James Conner,RB,2.649,230.3,34
46,Chris Olave,WR,2.6363,60.7,292
47,Michael Pittman,WR,2.6228,131.3,134
48,Kenneth Walker III,RB,2.6121,158.2,98
49,Brandon Aubrey,K,2.5676,185.0,65
50,Tyler Lockett,WR,2.5085,96.5,213
51,Jared Goff,QB,2.4082,335.96,9
52,Raheem Mostert,RB,2.3776,61.4,289
53,Justin Herbert,QB,2.3198,288.4,17
