overall_rank,position_rank,player,position,team,seasons_used,games_latest_season,avg_pts_latest_season,base_value,replacement_value,vor
1,1,Bijan Robinson,RB,ATL,3,17,19.49,15.9509,5.9105,10.0404
2,2,Jahmyr Gibbs,RB,DET,3,17,19.32,15.5376,5.9105,9.6271
3,1,Puka Nacua,WR,LA,3,16,19.41,13.8178,6.1777,7.6401
4,3,De'Von Achane,RB,MIA,3,16,18.08,13.5016,5.9105,7.5911
5,4,Derrick Henry,RB,BAL,5,17,16.0,13.4902,5.9105,7.5797
6,5,James Cook,RB,BUF,4,17,16.81,13.2952,5.9105,7.3847
7,6,Jonathan Taylor,RB,IND,5,17,19.96,13.2044,5.9105,7.2939
8,7,Christian McCaffrey,RB,SF,5,17,21.51,13.1893,5.9105,7.2788
9,2,Jaxon Smith-Njigba,WR,SEA,3,17,17.67,13.19,6.1777,7.0123
10,3,Ja'Marr Chase,WR,CIN,5,16,15.69,12.5417,6.1777,6.364
11,4,Amon-Ra St. Brown,WR,DET,5,17,15.62,12.4079,6.1777,6.2302
12,8,Chase Brown,RB,CIN,3,17,14.59,11.9322,5.9105,6.0217
13,1,Trey McBride,TE,ARI,4,17,14.88,11.4517,5.6064,5.8453
14,1,Josh Allen,QB,BUF,5,16,23.41,17.9123,12.4652,5.4471
15,9,Kyren Williams,RB,LA,4,17,14.43,11.1335,5.9105,5.223
16,10,Saquon Barkley,RB,PHI,5,16,13.36,10.2924,5.9105,4.3819
17,5,George Pickens,WR,DAL,4,17,14.44,10.3731,6.1777,4.1954
18,11,Travis Etienne,RB,JAX,4,17,13.88,9.8571,5.9105,3.9466
19,6,Zay Flowers,WR,BAL,3,17,11.78,9.888,6.1777,3.7103
20,7,Nico Collins,WR,HOU,5,15,12.71,9.731,6.1777,3.5533
21,12,Breece Hall,RB,NYJ,4,16,11.85,9.3817,5.9105,3.4712
22,13,TreVeyon Henderson,RB,NE,1,17,11.1,9.3035,5.9105,3.393
23,14,Ashton Jeanty,RB,LV,1,17,12.8,9.283,5.9105,3.3725
24,15,Josh Jacobs,RB,GB,5,15,14.61,9.2567,5.9105,3.3462
25,8,Chris Olave,WR,NO,4,16,13.69,9.3212,6.1777,3.1435
26,16,D'Andre Swift,RB,CHI,5,16,13.22,9.0434,5.9105,3.1329
27,9,Drake London,WR,ATL,4,12,13.99,9.2436,6.1777,3.0659
28,1,Brandon Aubrey,K,DAL,3,17,10.59,9.1931,6.1719,3.0212
29,10,Michael Wilson,WR,ARI,3,17,10.68,9.118,6.1777,2.9403
30,11,Jameson Williams,WR,DET,4,17,11.02,9.0893,6.1777,2.9116
31,2,Brock Bowers,TE,LV,2,12,12.02,8.4613,5.6064,2.8549
32,17,Javonte Williams,RB,DAL,5,16,14.08,8.7651,5.9105,2.8546
33,2,Trevor Lawrence,QB,JAX,5,17,20.6,15.27,12.4652,2.8048
34,12,Tee Higgins,WR,CIN,5,15,12.14,8.9013,6.1777,2.7236
35,13,CeeDee Lamb,WR,DAL,5,13,12.57,8.8443,6.1777,2.6666
36,14,Davante Adams,WR,LA,5,14,13.78,8.7559,6.1777,2.5782
37,15,A.J. Brown,WR,PHI,5,15,12.09,8.6955,6.1777,2.5178
38,2,Ka'imi Fairbairn,K,HOU,5,15,12.67,8.6678,6.1719,2.4959
39,18,Jaylen Warren,RB,PIT,4,16,12.32,8.2665,5.9105,2.356
40,3,Drake Maye,QB,NE,2,17,21.14,14.7774,12.4652,2.3122
41,19,Kenneth Walker III,RB,SEA,4,17,10.38,8.1867,5.9105,2.2762
42,20,RJ Harvey,RB,DEN,1,17,10.77,8.1807,5.9105,2.2702
43,1,SEA D/ST,DEF,SEA,5,17,10.35,8.5157,6.2943,2.2214
44,2,HOU D/ST,DEF,HOU,5,17,10.0,8.5018,6.2943,2.2075
45,21,Rico Dowdle,RB,CAR,4,17,11.58,8.1158,5.9105,2.2053
46,22,Zach Charbonnet,RB,SEA,3,16,10.71,8.0837,5.9105,2.1732
47,23,Tyrone Tracy Jr.,RB,NYG,2,15,9.52,8.0426,5.9105,2.1321
48,3,Kyle Pitts,TE,ATL,5,17,9.81,7.7358,5.6064,2.1294
49,3,Jason Myers,K,SEA,5,17,11.47,8.2317,6.1719,2.0598
50,16,Courtland Sutton,WR,DEN,5,17,10.75,8.219,6.1777,2.0413
51,4,Cameron Dicker,K,LAC,4,17,9.76,8.1487,6.1719,1.9768
52,5,Cam Little,K,JAX,2,17,9.35,8.0532,6.1719,1.8813
53,24,Tony Pollard,RB,TEN,5,17,9.96,7.7609,5.9105,1.8504
54,4,Jalen Hurts,QB,PHI,5,16,19.07,14.3083,12.4652,1.8431
55,25,Rhamondre Stevenson,RB,NE,5,14,11.63,7.7469,5.9105,1.8364
56,26,Kenny Gainwell,RB,PIT,5,17,10.87,7.7461,5.9105,1.8356
57,5,Matthew Stafford,QB,LA,5,17,21.08,14.2988,12.4652,1.8336
58,4,George Kittle,TE,SF,5,11,12.09,7.3908,5.6064,1.7844
59,3,DEN D/ST,DEF,DEN,5,17,8.41,8.0729,6.2943,1.7786
60,6,Bo Nix,QB,DEN,2,17,18.58,14.1814,12.4652,1.7162
61,17,Wan'Dale Robinson,WR,NYG,4,16,10.74,7.8737,6.1777,1.696
62,18,Justin Jefferson,WR,MIN,5,17,9.38,7.8638,6.1777,1.6861
63,27,Bucky Irving,RB,TB,2,10,12.35,7.59,5.9105,1.6795
64,7,Baker Mayfield,QB,TB,5,17,16.64,14.1358,12.4652,1.6706
65,19,Alec Pierce,WR,IND,4,15,10.65,7.8356,6.1777,1.6579
66,4,MIN D/ST,DEF,MIN,5,17,7.82,7.9323,6.2943,1.638
67,8,Jared Goff,QB,DET,5,17,17.94,14.0542,12.4652,1.589
68,20,Tetairoa McMillan,WR,CAR,1,17,10.38,7.7638,6.1777,1.5861
69,6,Will Reichard,K,MIN,2,17,9.24,7.7527,6.1719,1.5808
70,7,Jake Bates,K,DET,2,17,8.41,7.6473,6.1719,1.4754
71,21,Ladd McConkey,WR,LAC,2,16,9.24,7.6338,6.1777,1.4561
72,5,Harold Fannin Jr.,TE,CLE,1,16,9.4,6.9559,5.6064,1.3495
73,9,Caleb Williams,QB,CHI,2,17,19.1,13.7818,12.4652,1.3166
74,22,DeVonta Smith,WR,PHI,5,17,9.61,7.4157,6.1777,1.238
75,23,Jauan Jennings,WR,SF,5,15,9.72,7.2632,6.1777,1.0855
76,6,Colston Loveland,TE,CHI,1,16,8.51,6.6405,5.6064,1.0341
77,28,Quinshon Judkins,RB,CLE,1,14,11.2,6.8903,5.9105,0.9798
78,24,DK Metcalf,WR,PIT,5,15,10.51,7.0939,6.1777,0.9162
79,25,Brian Thomas Jr.,WR,JAX,2,14,8.2,7.0757,6.1777,0.898
80,10,Justin Herbert,QB,LAC,5,16,18.74,13.3609,12.4652,0.8957
81,26,Parker Washington,WR,JAX,3,16,9.73,7.0684,6.1777,0.8907
82,29,David Montgomery,RB,DET,5,17,9.11,6.7933,5.9105,0.8828
83,27,Jakobi Meyers,WR,JAX,5,16,8.64,6.9659,6.1777,0.7882
84,30,Kyle Monangai,RB,CHI,1,17,8.1,6.6729,5.9105,0.7624
85,7,Tyler Warren,TE,IND,1,17,8.85,6.368,5.6064,0.7616
86,28,DJ Moore,WR,CHI,5,17,8.54,6.9157,6.1777,0.738
87,11,Patrick Mahomes,QB,KC,5,14,21.16,13.2023,12.4652,0.7371
88,8,Chase McLaughlin,K,TB,5,17,8.76,6.8714,6.1719,0.6995
89,31,Omarion Hampton,RB,LAC,1,9,13.3,6.6098,5.9105,0.6993
90,32,Jeremiyah Love,RB,ARI,0,0,6.61,6.6071,5.9105,0.6966
91,29,Jaylen Waddle,WR,MIA,5,16,10.13,6.8607,6.1777,0.683
92,5,BUF D/ST,DEF,BUF,5,17,6.47,6.9572,6.2943,0.6629
93,6,PHI D/ST,DEF,PHI,5,17,7.94,6.9538,6.2943,0.6595
94,8,Juwan Johnson,TE,NO,5,17,8.32,6.1947,5.6064,0.5883
95,30,Quentin Johnston,WR,LAC,3,13,11.21,6.7558,6.1777,0.5781
96,9,Andy Borregales,K,NE,1,17,8.35,6.7134,6.1719,0.5415
97,31,Jordyn Tyson,WR,NOR,0,0,6.68,6.677,6.1777,0.4993
98,32,Deebo Samuel Sr.,WR,WAS,5,16,9.51,6.6715,6.1777,0.4938
99,9,Travis Kelce,TE,KC,5,17,9.13,6.0887,5.6064,0.4823
100,10,Tucker Kraft,TE,GB,3,8,12.65,6.0778,5.6064,0.4714
101,33,Woody Marks,RB,HOU,1,16,8.32,6.3759,5.9105,0.4654
102,7,NO D/ST,DEF,NO,5,17,6.82,6.7321,6.2943,0.4378
103,34,Cam Skattebo,RB,NYG,1,8,14.46,6.3089,5.9105,0.3984
104,33,Stefon Diggs,WR,NE,5,17,9.87,6.5341,6.1777,0.3564
105,10,Chris Boswell,K,PIT,5,17,8.53,6.5087,6.1719,0.3368
106,35,Jacory Croskey-Merritt,RB,WAS,1,17,7.99,6.2415,5.9105,0.331
107,11,Hunter Henry,TE,NE,5,17,8.75,5.917,5.6064,0.3106
108,8,BAL D/ST,DEF,BAL,5,17,5.53,6.6012,6.2943,0.3069
109,12,Dak Prescott,QB,DAL,5,17,19.05,12.7092,12.4652,0.244
110,9,LAC D/ST,DEF,LAC,5,17,6.35,6.5235,6.2943,0.2292
111,10,PIT D/ST,DEF,PIT,5,17,7.59,6.5149,6.2943,0.2206
112,11,JAX D/ST,DEF,JAX,5,17,8.24,6.4977,6.2943,0.2034
113,11,Blake Grupe,K,IND,3,16,7.56,6.3337,6.1719,0.1618
114,12,LA D/ST,DEF,LA,5,17,7.88,6.4492,6.2943,0.1549
115,34,Rashee Rice,WR,KC,3,8,15.45,6.3051,6.1777,0.1274
116,12,Tyler Loop,K,BAL,1,17,8.12,6.2849,6.1719,0.113
117,35,Emeka Egbuka,WR,TB,1,17,9.66,6.2608,6.1777,0.0831
118,36,Marvin Harrison Jr.,WR,ARI,2,12,8.94,6.217,6.1777,0.0393
119,37,Makai Lemon,WR,PHI,0,0,6.21,6.2056,6.1777,0.0279
120,12,Jake Ferguson,TE,DAL,4,17,8.65,5.6098,5.6064,0.0034
121,13,Lamar Jackson,QB,BAL,5,13,17.07,12.4652,12.4652,0.0
122,13,CHI D/ST,DEF,CHI,5,17,6.71,6.2943,6.2943,0.0
123,38,Michael Pittman,WR,IND,5,17,9.55,6.1777,6.1777,0.0
124,13,Wil Lutz,K,DEN,4,17,7.65,6.1719,6.1719,0.0
125,36,Rachaad White,RB,TB,4,17,7.24,5.9105,5.9105,0.0
126,13,Dallas Goedert,TE,PHI,5,15,10.34,5.6064,5.6064,0.0
127,39,Terry McLaurin,WR,WAS,5,10,9.52,6.1565,6.1777,-0.0212
128,40,Khalil Shakir,WR,BUF,4,16,8.15,6.1171,6.1777,-0.0606
129,14,AJ Barner,TE,SEA,2,17,7.14,5.5214,5.6064,-0.085
130,15,Dalton Schultz,TE,HOU,5,17,8.04,5.5131,5.6064,-0.0933
131,14,Harrison Butker,K,KC,5,17,8.24,6.0755,6.1719,-0.0964
132,16,Sam LaPorta,TE,DET,3,9,9.66,5.5037,5.6064,-0.1027
133,17,Kenyon Sadiq,TE,NYJ,0,0,5.49,5.4943,5.6064,-0.1121
134,15,Evan McPherson,K,CIN,5,17,7.65,6.0385,6.1719,-0.1334
135,41,Troy Franklin,WR,DEN,2,17,8.51,6.0146,6.1777,-0.1631
136,42,Jordan Addison,WR,MIN,3,14,8.15,5.9851,6.1777,-0.1926
137,14,CLE D/ST,DEF,CLE,5,17,7.82,6.0565,6.2943,-0.2378
138,37,Blake Corum,RB,LA,2,17,6.95,5.654,5.9105,-0.2565
139,38,Chuba Hubbard,RB,CAR,5,15,7.36,5.5907,5.9105,-0.3198
140,16,Chad Ryland,K,ARI,3,17,7.18,5.8114,6.1719,-0.3605
141,43,Romeo Doubs,WR,GB,4,16,8.62,5.8151,6.1777,-0.3626
142,44,Antonio Williams,WR,WAS,0,0,5.8,5.8048,6.1777,-0.3729
143,45,Rome Odunze,WR,CHI,2,12,10.34,5.7317,6.1777,-0.446
144,14,Jordan Love,QB,GB,5,15,16.08,11.9792,12.4652,-0.486
145,39,Jadarian Price,RB,SEA,0,0,5.38,5.384,5.9105,-0.5265
146,15,ATL D/ST,DEF,ATL,5,17,6.88,5.7454,6.2943,-0.5489
147,46,Garrett Wilson,WR,NYJ,4,7,11.64,5.6264,6.1777,-0.5513
148,40,Kareem Hunt,RB,KC,5,17,8.02,5.3313,5.9105,-0.5792
149,47,Denzel Boston,WR,CLE,0,0,5.58,5.5844,6.1777,-0.5933
150,48,De'Zhaun Stribling,WR,SFO,0,0,5.56,5.5634,6.1777,-0.6143
151,41,J.K. Dobbins,RB,DEN,4,10,11.04,5.296,5.9105,-0.6145
152,49,Luther Burden III,WR,CHI,1,15,6.96,5.5583,6.1777,-0.6194
153,17,Cairo Santos,K,CHI,5,15,8.47,5.517,6.1719,-0.6549
154,16,MIA D/ST,DEF,MIA,5,17,5.41,5.6391,6.2943,-0.6552
155,50,Christian Watson,WR,GB,4,10,11.49,5.517,6.1777,-0.6607
156,51,Tre Tucker,WR,LV,3,17,7.84,5.5162,6.1777,-0.6615
157,18,Eddy Pineiro,K,SF,5,14,9.64,5.4891,6.1719,-0.6828
158,42,Aaron Jones,RB,MIN,5,12,8.72,5.2141,5.9105,-0.6964
159,52,Carnell Tate,WR,TEN,0,0,5.48,5.4812,6.1777,-0.6965
160,17,DET D/ST,DEF,DET,5,17,5.59,5.5923,6.2943,-0.702
161,43,Jordan Mason,RB,MIN,4,16,7.62,5.2038,5.9105,-0.7067
